repo,pr_number,mean_toxicity,max_toxicity,mean_sentiment,mean_anger,mean_politeness
vercel/next.js,69914,0.0008269688405562192,0.0009243282838724554,0.15226367954164743,0.01649049809202552,0.0
vercel/next.js,69915,0.0010862076574435027,0.0033417996019124985,-0.1353559633716941,0.043695983656037315,0.10714531865934791
vercel/next.js,69919,0.0011148035409860313,0.0012012801598757505,-0.12325155083090067,0.19380831439048052,0.0
vercel/next.js,69921,0.001122874382417649,0.0012012801598757505,-0.12303358223289251,0.19383306242525578,0.0
vercel/next.js,69923,0.0011030217283405364,0.0012012801598757505,-0.12622887641191483,0.19318925589323044,0.0
vercel/next.js,69925,0.005908903905138787,0.04563232138752937,-0.39340823826690513,0.0685101958612601,0.0
vercel/next.js,69929,0.0009417090138110021,0.0012012801598757505,-0.06592477361361186,0.1327444597457846,0.08450715934355134
vercel/next.js,69931,0.0030566558125428855,0.006956376135349274,-0.2713775811716914,0.02143405331298709,0.0
vercel/next.js,69934,0.0007981501403264701,0.0007981501403264701,0.0823211669921875,0.014863424934446812,0.0
vercel/next.js,69935,0.0007412683512286648,0.0012810737825930119,0.044538832067147545,0.02951196612506781,0.04989071897965129
vercel/next.js,69941,0.0010403944761492312,0.0010862977942451835,-0.1728790132328868,0.06887827347964048,0.0
vercel/next.js,69944,0.0010767461499199271,0.0012012801598757505,-0.12354779057204723,0.1940666399896145,0.0
vercel/next.js,69945,0.0010863128991331905,0.0012012801598757505,-0.10052194632589817,0.19676997605711222,0.0
vercel/next.js,69947,0.001097599626518786,0.0012012801598757505,-0.12239637598395348,0.194345373660326,0.0
vercel/next.js,69948,0.0010658790415618569,0.0012012801598757505,-0.10423433873802423,0.19488002266734838,0.0
vercel/next.js,69949,0.0010646571754477918,0.0012012801598757505,-0.0974835748784244,0.19506606552749872,0.0
vercel/next.js,69951,0.0009598869364708662,0.0012012801598757505,-0.0729525089263916,0.13218384391317764,0.104257090883197
vercel/next.js,69952,0.0033792680187616497,0.005860382691025734,-0.16727873869240284,0.07193792518228292,0.0
vercel/next.js,69957,0.0010480257915332913,0.001051540719345212,-0.14909938629716635,0.13478401210159063,0.0
vercel/next.js,69959,0.0018879207879460107,0.004406823311001062,0.13046291284263134,0.025618426346530516,0.0794175596734174
vercel/next.js,69960,0.0009758347878232598,0.0013716494431719184,0.4242016742937267,0.013965393416583538,0.10098472796310948
vercel/next.js,69961,0.0009997723779330652,0.0012012801598757505,-0.026812445372343063,0.13078007784982523,0.11939901592793838
vercel/next.js,69962,0.0010407492518424988,0.0010407492518424988,0.09472055360674858,0.012922495603561401,0.0
vercel/next.js,69964,0.0010831646504811943,0.0012012801598757505,-0.10141581948846579,0.1937545295804739,0.0
vercel/next.js,69965,0.0010629154276102781,0.0012012801598757505,-0.12418728787451982,0.19485259242355824,0.0
vercel/next.js,69966,0.0012408887268975377,0.0012408887268975377,0.09180773980915546,0.010568829253315926,0.0
vercel/next.js,69972,0.0013315740507096052,0.0013457117602229118,0.10530553013086319,0.011782865971326828,0.0
vercel/next.js,69974,0.0010004301730077714,0.00105653190985322,-0.17167723271995783,0.10401604510843754,0.0
vercel/next.js,69977,0.001059583097230643,0.0012012801598757505,-0.1268392438068986,0.19411675818264484,0.0
vercel/next.js,69978,0.001775007724063471,0.0025891216937452555,-0.27994859404861927,0.06931930407881737,0.04689444504165099
vercel/next.js,69981,0.0012413167569320649,0.0018206172389909625,0.004916196223348379,0.02538174227811396,0.0
vercel/next.js,69983,0.0011006027343682945,0.0011606976622715592,-0.16452481783926487,0.11972727254033089,0.0
vercel/next.js,69985,0.0009049697691807523,0.0012012801598757505,-0.0989413340575993,0.10733496816828847,0.0
vercel/next.js,69986,0.001093983941245824,0.0012012801598757505,-0.12129504419863224,0.19473174959421158,0.0
vercel/next.js,69988,0.0010644042049534619,0.0012012801598757505,-0.09392197942361236,0.19511470757424831,0.0
vercel/next.js,69992,0.0010705096938181669,0.0012012801598757505,-0.1235823342576623,0.1930611301213503,0.0
vercel/next.js,69995,0.0010120821922707062,0.0012012801598757505,-0.05736868145565192,0.13242647734781107,0.12774143111241834
vercel/next.js,69997,0.001109176140744239,0.0012012801598757505,-0.1235191822052002,0.19298365153372288,0.0
vercel/next.js,70001,0.0014330311678349972,0.0014330311678349972,0.07924129627645016,0.01181439682841301,0.0
vercel/next.js,70005,0.0011651342501863837,0.0011651342501863837,0.11700803227722645,0.012059020809829235,0.0
vercel/next.js,70009,0.002484601456671953,0.003958059009164572,-0.17568396404385567,0.06219886988401413,0.0
vercel/next.js,70013,0.00168937382598718,0.0028608576394617558,-0.049967713033159576,0.06788249624272187,0.0
